time,wmo_code,temp_2m_max,temp_2m_min,sunrise,sunset,daylight,sunshine
2024-01-01,63.0,31.2,25.1,2024-01-01T06:15,2024-01-01T18:48,45132.76,39884.0
2024-01-02,55.0,32.2,24.8,2024-01-02T06:16,2024-01-02T18:48,45126.43,40391.66
2024-01-03,63.0,30.1,25.0,2024-01-03T06:16,2024-01-03T18:48,45119.55,20355.33
2024-01-04,65.0,30.9,24.3,2024-01-04T06:17,2024-01-04T18:49,45112.13,33496.65
2024-01-05,53.0,30.2,23.6,2024-01-05T06:18,2024-01-05T18:49,45104.18,12570.36
2024-01-06,63.0,29.4,25.9,2024-01-06T06:18,2024-01-06T18:50,45095.72,20116.86
2024-01-07,63.0,29.5,25.0,2024-01-07T06:19,2024-01-07T18:50,45086.76,19351.47
2024-01-08,63.0,31.3,24.4,2024-01-08T06:19,2024-01-08T18:50,45077.31,30269.72
2024-01-09,63.0,31.7,24.3,2024-01-09T06:20,2024-01-09T18:51,45067.38,36784.91
2024-01-10,63.0,32.1,24.5,2024-01-10T06:20,2024-01-10T18:51,45056.98,37214.06
2024-01-11,63.0,33.1,24.6,2024-01-11T06:21,2024-01-11T18:51,45046.14,40440.42
2024-01-12,51.0,32.5,24.5,2024-01-12T06:21,2024-01-12T18:52,45034.86,41192.84
2024-01-13,51.0,33.3,23.9,2024-01-13T06:22,2024-01-13T18:52,45023.14,40179.45
2024-01-14,51.0,32.8,25.0,2024-01-14T06:22,2024-01-14T18:52,45010.88,30672.94
2024-01-15,63.0,32.7,25.2,2024-01-15T06:22,2024-01-15T18:52,44998.03,31324.84
2024-01-16,63.0,31.6,24.9,2024-01-16T06:23,2024-01-16T18:53,44984.61,30374.54
2024-01-17,61.0,29.9,24.0,2024-01-17T06:23,2024-01-17T18:53,44970.66,22384.77
2024-01-18,63.0,32.2,24.2,2024-01-18T06:24,2024-01-18T18:53,44956.19,36863.97
2024-01-19,63.0,30.7,24.2,2024-01-19T06:24,2024-01-19T18:53,44941.23,21655.94
2024-01-20,53.0,32.0,24.0,2024-01-20T06:25,2024-01-20T18:53,44925.82,39466.87
2024-01-21,53.0,33.4,24.8,2024-01-21T06:25,2024-01-21T18:54,44909.96,33508.91
2024-01-22,63.0,30.9,25.0,2024-01-22T06:26,2024-01-22T18:54,44893.69,34780.96
2024-01-23,51.0,32.5,24.9,2024-01-23T06:26,2024-01-23T18:54,44877.03,27612.57
2024-01-24,65.0,31.9,24.5,2024-01-24T06:26,2024-01-24T18:54,44860.0,30032.55
2024-01-25,61.0,31.2,24.3,2024-01-25T06:27,2024-01-25T18:54,44842.64,38787.78
2024-01-26,65.0,31.5,24.0,2024-01-26T06:27,2024-01-26T18:54,44824.96,36545.35
2024-01-27,63.0,31.5,24.3,2024-01-27T06:27,2024-01-27T18:54,44806.98,41562.51
2024-01-28,63.0,31.7,23.9,2024-01-28T06:28,2024-01-28T18:54,44788.73,32426.52
2024-01-29,65.0,31.9,24.1,2024-01-29T06:28,2024-01-29T18:54,44770.23,25250.79
2024-01-30,63.0,30.2,23.6,2024-01-30T06:29,2024-01-30T18:54,44751.51,23465.08
2024-01-31,65.0,31.8,24.1,2024-01-31T06:29,2024-01-31T18:54,44732.58,39372.52
