_id,time,weather_code,temperature_2m_max,temperature_2m_min,sunrise,sunset,daylight_duration,sunshine_duration,wind_speed_10m_max,wind_direction_10m_dominant,city,name_weather_code
b8b84e14-4292-4d59-bde9-15373ba37bf3,2023-01-01,-1.0,-1.0,-1.0,2023-01-01T06:47,2023-01-01T18:35,42511.15,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
2a828bdb-71db-4777-b462-e8d4218da07e,2023-01-02,-1.0,-1.0,-1.0,2023-01-02T06:47,2023-01-02T18:36,42515.53,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
d7599351-f64a-412a-b3ee-a2a41b1493b4,2023-01-03,-1.0,-1.0,-1.0,2023-01-03T06:48,2023-01-03T18:36,42520.31,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
ac4ad5f4-5b6c-4f29-8634-b43f378d39e5,2023-01-04,-1.0,-1.0,-1.0,2023-01-04T06:48,2023-01-04T18:37,42525.49,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
7e49eaeb-74b1-4458-997e-9e3e7f35f779,2023-01-05,-1.0,-1.0,-1.0,2023-01-05T06:49,2023-01-05T18:37,42531.06,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
93561810-1df1-4452-bba9-62b85772ca29,2023-01-06,-1.0,-1.0,-1.0,2023-01-06T06:49,2023-01-06T18:38,42537.01,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
fd519457-cbbd-4fac-a0ba-aab5a5c2007c,2023-01-07,-1.0,-1.0,-1.0,2023-01-07T06:49,2023-01-07T18:38,42543.32,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
8399b3b9-23f6-49f4-9b2b-17a429ebaf39,2023-01-08,-1.0,-1.0,-1.0,2023-01-08T06:50,2023-01-08T18:39,42549.98,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
2b70ca20-0c5e-4dce-b9fd-c5705f826d18,2023-01-09,-1.0,-1.0,-1.0,2023-01-09T06:50,2023-01-09T18:39,42557.0,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
8ddb3948-9f9e-4b37-a609-075ef93b22e0,2023-01-10,-1.0,-1.0,-1.0,2023-01-10T06:51,2023-01-10T18:40,42564.34,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
e20d6c21-99ed-4a29-a828-643a26079008,2023-01-11,-1.0,-1.0,-1.0,2023-01-11T06:51,2023-01-11T18:40,42572.02,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
c1e07d85-c690-4a5c-aeaf-abb3ee120427,2023-01-12,-1.0,-1.0,-1.0,2023-01-12T06:51,2023-01-12T18:41,42580.01,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
8dd18d9c-db1b-4501-83e2-9edd5a824059,2023-01-13,-1.0,-1.0,-1.0,2023-01-13T06:52,2023-01-13T18:41,42588.3,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
eececd2d-7b61-4000-ba70-a0f3adbb1964,2023-01-14,-1.0,-1.0,-1.0,2023-01-14T06:52,2023-01-14T18:42,42596.88,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
2a8742ca-1f2e-4ed7-9a20-b597915314d5,2023-01-15,-1.0,-1.0,-1.0,2023-01-15T06:52,2023-01-15T18:42,42605.74,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
7b7993a0-4239-455f-9bf5-3d7079755b16,2023-01-16,-1.0,-1.0,-1.0,2023-01-16T06:52,2023-01-16T18:43,42614.88,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
b9f1315d-1245-47ae-8acf-1a2b704f0847,2023-01-17,-1.0,-1.0,-1.0,2023-01-17T06:53,2023-01-17T18:43,42624.28,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
1cf5eae2-4212-45ef-b7fb-0568f5ff3a47,2023-01-18,-1.0,-1.0,-1.0,2023-01-18T06:53,2023-01-18T18:43,42633.93,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
141ac9d3-f44b-45a9-b9ac-b32a6d61b980,2023-01-19,-1.0,-1.0,-1.0,2023-01-19T06:53,2023-01-19T18:44,42643.94,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
33519621-5f1c-4fce-b3da-263460d27b18,2023-01-20,-1.0,-1.0,-1.0,2023-01-20T06:53,2023-01-20T18:44,42654.32,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
28bc3256-8287-4015-af37-f3bf79dde8e6,2023-01-21,-1.0,-1.0,-1.0,2023-01-21T06:54,2023-01-21T18:45,42665.08,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
0fc3a55f-b276-484f-8096-609f994bb7e5,2023-01-22,-1.0,-1.0,-1.0,2023-01-22T06:54,2023-01-22T18:45,42676.18,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
d79250ce-6f9c-4686-9fa5-81a65222c380,2023-01-23,-1.0,-1.0,-1.0,2023-01-23T06:54,2023-01-23T18:45,42687.61,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
5352fd94-df5b-49f0-8bf3-1277e29c38fb,2023-01-24,-1.0,-1.0,-1.0,2023-01-24T06:54,2023-01-24T18:46,42699.37,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
24c2d259-b260-4098-954b-836f49325deb,2023-01-25,-1.0,-1.0,-1.0,2023-01-25T06:54,2023-01-25T18:46,42711.41,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
7b0b5542-6b71-4e83-aa14-fefb2b6f3966,2023-01-26,-1.0,-1.0,-1.0,2023-01-26T06:54,2023-01-26T18:46,42723.74,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
56865a76-6ef4-4b9c-94e3-6113d24b243f,2023-01-27,-1.0,-1.0,-1.0,2023-01-27T06:54,2023-01-27T18:47,42736.33,-1.0,-1.0,-1.0,Banda Aceh,Nothing to report
